EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,64d05590-d055-4031-9454-10d0c7cfa0e1,original,8,-1,-1,jacoco_class_instruction.missedratio,1.0,,,2023-05-11T14:12:01.196Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3486e19a-52de-48c3-9837-421913effd88,original,3,-1,-1,jacoco_class_branch.total,14,,,2023-05-11T14:12:02.173Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,1b9a105a-40c3-4259-8767-510f6afd3e5f,original,6,-1,-1,jacoco_class_instruction.coveredratio,0.0,,,2023-05-11T14:12:02.455Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,d4508b37-19a2-466b-a5a5-f37e3cf4342d,original,6,-1,-1,jacoco_class_instruction.covered,0,,,2023-05-11T14:12:02.502Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3cfe7c2b-23b1-40ba-a87e-bdaa481b5690,original,7,-1,-1,jacoco_class_complexity.total,8,,,2023-05-11T14:12:01.063Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,d4508b37-19a2-466b-a5a5-f37e3cf4342d,original,1,-1,-1,jacoco_class_class.covered,0,,,2023-05-11T14:12:01.880Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,d4508b37-19a2-466b-a5a5-f37e3cf4342d,original,3,-1,-1,jacoco_class_branch.covered,0,,,2023-05-11T14:12:02.175Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,64d05590-d055-4031-9454-10d0c7cfa0e1,original,6,-1,-1,jacoco_class_line.missedratio,1.0,,,2023-05-11T14:12:01.012Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,3486e19a-52de-48c3-9837-421913effd88,original,2,-1,-1,jacoco_class_complexity.covered,0,,,2023-05-11T14:12:02.096Z,0
d78adecf-f4d8-4460-806a-92ecb05cbe9d,ImmutableSet,filter,jacoco,all,df9bea55-3b46-4d48-bd65-53bd113e4135,original,5,-1,-1,jacoco_class_method.missed,9,,,2023-05-11T14:12:00.733Z,0
