EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,aca66383-99a5-479d-986e-cbbce0efa4b4,original,0,-1,-1,loader.artifacts,115,,,2023-04-24T10:23:07.011Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,2daf343c-b249-4f00-8fda-e31e02ee7b8c,original,0,-1,-1,loader.artifacts,140,,,2023-04-24T10:23:07.011Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,6898e1c6-f621-475f-b3ef-54d0182a2a43,original,0,-1,-1,loader.classes_loaded,11,,,2023-04-24T10:23:07.178Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,60e560e3-a687-44af-9fe2-3167122c318c,original,0,-1,-1,loader.artifacts,12,,,2023-04-24T10:23:07.165Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,b82416e1-5dbb-4257-b6b2-fc2a28f6f3c5,original,0,-1,-1,loader.artifacts,1,,,2023-04-24T10:23:07.165Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,0479d48a-c10d-4bd8-af5e-34da1e5f353c,original,0,-1,-1,loader.classes_loaded,11,,,2023-04-24T10:23:07.187Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,e3f8ae3c-1a47-404b-8c60-f9e75bf335fe,original,0,-1,-1,loader.artifacts,10,,,2023-04-24T10:23:07.011Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,2daf343c-b249-4f00-8fda-e31e02ee7b8c,original,0,-1,-1,loader.classes_loaded,11,,,2023-04-24T10:23:07.011Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,aca66383-99a5-479d-986e-cbbce0efa4b4,original,0,-1,-1,loader.classes_loaded,11,,,2023-04-24T10:23:07.011Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,0479d48a-c10d-4bd8-af5e-34da1e5f353c,original,0,-1,-1,loader.artifacts,1,,,2023-04-24T10:23:07.187Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,4b153bc5-27bd-437d-8cb6-f4aab305f52d,original,0,-1,-1,loader.artifacts,4,,,2023-04-24T10:23:07.164Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,4b153bc5-27bd-437d-8cb6-f4aab305f52d,original,0,-1,-1,loader.classes_loaded,11,,,2023-04-24T10:23:07.164Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,6995f824-9c8f-4f00-8711-c3266b331561,original,0,-1,-1,loader.classes_loaded,11,,,2023-04-24T10:23:07.004Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,71f18ce3-f011-42a3-8cf2-558de76d123f,original,0,-1,-1,loader.artifacts,1,,,2023-04-24T10:23:07.165Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,6898e1c6-f621-475f-b3ef-54d0182a2a43,original,0,-1,-1,loader.artifacts,7,,,2023-04-24T10:23:07.178Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,e3f8ae3c-1a47-404b-8c60-f9e75bf335fe,original,0,-1,-1,loader.classes_loaded,11,,,2023-04-24T10:23:07.011Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,6995f824-9c8f-4f00-8711-c3266b331561,original,0,-1,-1,loader.artifacts,1,,,2023-04-24T10:23:07.004Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,71f18ce3-f011-42a3-8cf2-558de76d123f,original,0,-1,-1,loader.classes_loaded,11,,,2023-04-24T10:23:07.165Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,b82416e1-5dbb-4257-b6b2-fc2a28f6f3c5,original,0,-1,-1,loader.classes_loaded,11,,,2023-04-24T10:23:07.165Z,0
9d7fdfa2-f4ec-43b8-b976-2d71812cf3cc,ab,filter,execute,all,60e560e3-a687-44af-9fe2-3167122c318c,original,0,-1,-1,loader.classes_loaded,10,,,2023-04-24T10:23:07.165Z,0
